wavelength , correction_curve_intensity 
420.1408,51.670429076438474
419.7212,47.69559805756139
419.3016,50.940733200036334
418.882,52.76433351394032
418.4624,50.18405221124541
418.0428,49.05210747403003
417.6232,50.89647009310526
417.2036,48.24272778691588
416.784,50.104541339108124
416.3644,47.40392299767733
415.9448,49.28334738841393
415.5252,44.98358481737035
415.1056,51.55657853462677
414.686,44.06061235951159
414.2664,47.54932874804815
413.8468,44.701296530856794
413.42719999999997,45.02641936404305
413.0076,45.354780430312104
412.588,45.686418696549964
412.1684,46.021373672327655
411.7488,44.70398236776375
411.3292,41.69767371025072
410.9096,43.686074967641844
410.49,47.395170337518394
410.0704,47.747321103298816
409.6508,46.38507189434903
409.2312,45.00076577586
408.8116,45.337817704557914
408.392,47.43516148326793
407.9724,42.48209150697769
407.5528,44.58629512972125
407.1332,50.314697408212986
406.7136,48.88603421699615
406.294,43.784991963829825
405.8744,42.28084563089914
405.4548,40.75201986201
405.0352,41.064697653537785
404.6156,47.02343335719016
404.196,45.49072530018796
403.7764,42.022369312022064
403.3568,42.34827645548265
402.9372,44.61748599596368
402.5176,46.92040233397146
402.098,47.287244242629164
401.6784,49.64369859885706
401.2588,46.03121340703105
400.8392,44.37689067973983
400.4196,42.69453117019208
400.0,38.93449200430321
399.5804,49.57118847283981
399.1608,37.47460132808833
398.7412,44.0696412254957
398.3216,46.53802095561306
397.902,40.51475112176986
397.4824,47.28963513314982
397.0628,45.50463942336075
396.6432,48.05754543107665
396.2236,41.84123333716539
395.804,53.28237446718809
395.3844,44.76445337846457
394.9648,40.617790483418084
394.5452,43.2262398731994
394.1256,48.16957550617881
393.706,43.94165594362305
393.2864,41.973412084187366
392.8668,44.67288603071603
392.4472,40.30302909758238
392.0276,40.6392602118164
391.608,45.800303625594
391.1884,41.322955020274165
390.7688,46.57293231253541
390.3492,44.493840113766886
389.9296,44.87011618111553
389.51,32.680995531421665
389.0904,48.170674312487286
388.6708,46.024472954571024
388.2512,36.10285725277378
387.8316,46.8158939335537
387.412,41.97185498150352
386.9924,34.396085455975665
386.57280000000003,34.693383547252196
386.1532,34.994071887822834
385.7336,38.01344252264606
385.314,41.083620738632234
384.8944,35.91694352961269
384.4748,44.59281433762898
384.0552,42.173086283162284
383.6356,39.70834301978559
383.216,45.78189095220406
382.7964,37.52732037011734
382.3768,40.7730475470114
381.9572,35.259636398113074
381.5376,44.46822877354385
381.118,38.88431834830799
380.6984,39.23355536281159
380.2788,39.58689923548813
379.8592,43.0170541887167
379.4396,46.50708283436573
379.02,46.92940566744595
378.6004,41.04250713955981
378.1808,35.04537928332564
377.76120000000003,41.79649171396745
377.34159999999997,19.467805980035678
376.922,39.29408720044479
376.5024,46.266340189062824
376.0828,50.03000091332883
375.6632,43.76185953761645
375.2436,40.7716121120087
374.824,44.58156461277718
374.4044,44.99888489361272
373.9848,41.927334779899304
373.5652,38.79515640152044
373.1456,49.84170682495747
372.726,35.93818934033989
372.3064,50.79101120502859
371.8868,40.28705169909958
371.4672,44.36897605137505
371.0476,41.060820533171956
370.628,45.223525854051864
370.2084,38.0489696234567
369.7888,49.941031735642476
369.3692,31.030371123112037
368.94960000000003,39.16439413408587
368.53,35.59098389598957
368.1104,47.91775723573579
367.6908,36.290020765493836
367.2712,44.789747993978395
366.8516,49.34239216330483
366.432,45.67688651060522
366.0124,58.70952525330152
365.5928,33.881228921732415
365.1732,38.495703457274765
364.7536,43.19985824432796
364.334,47.99539880602221
363.9144,57.291070305514694
363.4948,40.062206244343635
363.0752,53.95534995809845
362.6556,54.50139437039095
362.236,36.70300974824432
361.8164,55.6148189592586
361.3968,37.45494500966647
360.9772,42.56806675986486
360.5576,38.22663165075551
360.13800000000003,53.102599848129486
359.7184,39.01868317042444
